SL_EMP_VULN_FE_ZS,SL_EMP_VULN_MA_ZS,SL_TLF_ACTI_1524_FE_ZS,SL_TLF_ACTI_1524_MA_ZS,SL_TLF_ACTI_1524_ZS,SL_TLF_ACTI_FE_ZS,SL_TLF_ACTI_MA_ZS,SL_TLF_ACTI_ZS,SL_TLF_CACT_FE_ZS,SL_TLF_CACT_MA_ZS,SL_UEM_TOTL_FE_ZS,SL_UEM_TOTL_MA_ZS,SP_ADO_TFRT,SP_DYN_LE00_FE_IN,SP_DYN_LE00_MA_IN,desenv
16.8763087919034,21.4460971163908,34.245,50.169,42.378,56.418,79.878,68.175,48.788,73.396,9.874,7.794,66.695,79.07,72.694,1
16.4321006171766,20.7891837809673,32.602,49.122,41.042,55.28,79.901,67.626,47.693,73.322,9.214,6.682,67.064,78.838,72.516,1
16.0498644101276,20.3282854796448,32.119,49.33,40.914,55.663,80.682,68.216,47.949,73.982,8.524,6.265,68.264,79.322,72.841,1
16.0667071626242,21.0090461822415,31.619,49.011,40.508,56.02,80.157,68.137,48.056,73.266,8.848,6.1,68.719,79.953,72.939,1
16.6483586250487,21.7154739252515,31.124,48.646,40.081,55.638,79.728,67.737,47.65,72.866,8.508,6.135,69.167,79.927,73.011,1
17.2021046133069,22.1892143972766,30.652,46.159,38.58,55.284,78.603,67.001,47.429,72.023,8.393,6.495,67.791,80.004,73.424,1
17.9529226141969,22.4701582869497,30.806,46.251,38.703,55.38,78.124,66.813,47.512,71.497,8.709,6.8,65.395,80.188,73.294,1
18.5133700731971,22.506264168672,30.964,46.34,38.827,55.471,77.636,66.619,47.598,70.97,9.225,7.285,61.852,79.67,72.933,1
19.2283545172264,22.674248907813,31.126,46.428,38.952,55.559,77.151,66.423,47.685,70.44,9.491,7.543,57.783,80.085,73.526,1
19.9284997156224,22.8169111661824,32.606,45.897,39.405,57.444,77.194,67.385,49.165,70.501,10.563,8.241,51.029,80.329,73.631,1
20.9843071316676,23.96651730868,32.177,45.504,38.996,58.341,77.683,68.081,50.02,71.012,10.712,9.199,46.153,80.681,73.857,1
22.6880173604272,25.0633823823088,27.835,38.104,33.09,54.472,72.711,63.66,46.506,65.949,12.39,10.776,39.866,79.285,72.546,1
22.6752009061041,24.9925773732716,31.625,42.14,37.008,59.216,78.033,68.699,50.283,70.873,9.858,7.912,39.065,78.647,72.182,1
67.1675424080801,67.3201227969166,40.911,46.99,43.964,64.004,76.481,70.042,58.428,72.503,2.111,1.143,78.736,72.122,65.008,1
67.2008536970047,67.8280803796781,40.911,46.99,43.958,64.095,76.579,70.114,58.15,72.184,2.373,1.285,86.553,72.404,64.747,1
67.3983465744188,68.4661740440491,40.911,46.99,43.933,64.13,76.663,70.13,57.687,71.71,7.319,3.462,85.981,72.69,64.885,1
67.2345777132217,68.6665158566012,40.911,46.99,43.905,64.122,76.739,70.128,57.243,71.278,8.469,4.882,82.148,72.948,65.08,1
67.2612393071135,68.9414835809677,40.911,46.99,43.882,64.094,76.791,70.113,56.879,70.907,9.995,3.652,69.251,73.023,65.445,1
67.1366275935623,68.9153417246329,40.911,46.99,43.873,64.07,76.774,70.075,56.615,70.575,14.487,4.479,62.587,73.589,65.82,1
67.1032989106114,68.7703257880827,40.911,46.99,43.869,64.075,76.753,70.051,56.406,70.282,16.706,5.281,54.18,73.293,66.322,1
67.2519537453162,68.5803352006039,40.911,46.99,43.862,64.082,76.736,70.03,56.237,70.049,13.4,5.642,48.124,74.033,66.785,1
67.3287924034493,68.101284275281,40.911,46.99,43.859,64.045,76.64,69.95,56.077,69.802,15.007,7.604,41.327,73.767,66.554,1
